station,date,obs,pred
구포,2022-05-04,23.700000000000003,8.821518898010254
구포,2023-10-11,93.50000000000001,67.69921112060547
구포,2023-11-15,22.299999999999997,50.62007522583008
구포,2023-12-20,17.999999999999996,12.273740768432617
구포,2024-01-24,51.400000000000006,32.0150032043457
구포,2024-01-29,51.300000000000004,27.60832405090332
구포,2024-06-12,40.89999999999999,28.69631576538086
구포,2024-11-19,44.199999999999996,25.308481216430664
구포,2024-12-04,9.8,11.942529678344727
구포,2025-03-24,43.9,29.6455135345459
구포,2025-05-08,5.1,13.102994918823242
구포,2025-07-09,12.500000000000002,20.078868865966797
구포,2025-08-18,47.9,24.543502807617188
금곡,2017-08-28,37.400000000000006,52.418582916259766
금곡,2018-01-15,32.1,17.281843185424805
금곡,2018-05-15,10.9,13.591537475585938
금곡,2018-10-02,13.899999999999999,6.143420219421387
금곡,2018-11-06,19.800000000000004,44.224769592285156
금곡,2018-11-26,28.2,21.075641632080078
금곡,2019-01-15,46.099999999999994,35.47040557861328
금곡,2019-04-15,5.8,6.7056121826171875
금곡,2020-06-08,12.500000000000002,19.14222526550293
금곡,2020-10-06,31.199999999999996,39.33123016357422
금곡,2020-10-26,9.600000000000001,13.217680931091309
금곡,2021-06-08,26.2,15.664101600646973
금곡,2022-04-19,4.4,14.217988014221191
금곡,2022-05-24,13.4,15.816307067871094
금곡,2022-08-22,47.60000000000001,53.101280212402344
금곡,2022-10-11,18.999999999999996,18.692272186279297
금곡,2022-11-15,11.8,14.498257637023926
금곡,2023-05-09,6.200000000000001,7.232409477233887
금곡,2023-10-11,62.19999999999998,51.026676177978516
금곡,2023-10-16,53.7,47.54806900024414
금곡,2023-11-20,11.199999999999998,9.499046325683594
금곡,2024-05-13,27.300000000000008,26.05082893371582
금곡,2024-09-10,22.099999999999998,28.15397834777832
금곡,2024-12-04,7.499999999999999,7.880423545837402
금곡,2024-12-09,13.099999999999998,17.52420997619629
금곡,2025-01-13,47.29999999999999,36.758121490478516
금곡,2025-08-18,27.300000000000008,21.003082275390625
남강7,2016-11-01,31.499999999999993,31.40789222717285
남강7,2017-03-21,22.8,27.980548858642578
남강7,2017-04-10,16.099999999999998,18.919527053833008
남강7,2017-09-12,27.8,39.53584671020508
남강7,2017-11-21,11.499999999999998,24.277904510498047
남강7,2017-12-11,18.999999999999996,29.59894561767578
남강7,2018-01-15,9.1,13.636856079101562
남강7,2018-03-06,23.200000000000003,18.15180778503418
남강7,2018-03-26,8.4,6.456597328186035
남강7,2018-07-24,43.60000000000001,41.42967224121094
남강7,2018-08-13,59.400000000000006,22.88132095336914
남강7,2018-09-27,107.4,55.36622619628906
남강7,2019-01-15,7.800000000000002,6.018884658813477
남강7,2019-04-15,9.400000000000002,9.13041877746582
남강7,2019-12-16,11.199999999999998,19.357423782348633
남강7,2020-06-08,16.600000000000005,28.91820526123047
남강7,2020-10-06,44.099999999999994,43.55340576171875
남강7,2020-10-26,30.5,42.26888656616211
남강7,2021-01-04,8.4,17.631181716918945
남강7,2021-02-08,20.899999999999995,17.900564193725586
남강7,2021-12-20,65.50000000000003,67.24333190917969
남강7,2022-02-03,34.099999999999994,34.98323059082031
남강7,2022-04-19,11.8,9.487278938293457
남강7,2022-05-24,11.3,12.26165771484375
남강7,2022-08-22,27.999999999999996,31.821205139160156
남강7,2022-10-11,54.3,46.139137268066406
남강7,2022-11-15,17.100000000000005,34.053226470947266
남강7,2023-03-20,26.89999999999999,10.254209518432617
남강7,2023-05-09,9.2,10.050393104553223
남강7,2023-10-11,97.80000000000001,47.47862243652344
남강7,2023-10-16,37.400000000000006,39.68891906738281
남강7,2023-11-20,35.79999999999999,43.519187927246094
남강7,2024-01-29,9.3,6.443145275115967
남강7,2024-05-13,31.799999999999997,25.278470993041992
남강7,2024-09-10,41.10000000000001,40.454627990722656
남강7,2024-12-04,6.0,10.533975601196289
남강7,2024-12-09,8.9,14.2720947265625
남강7,2025-04-28,31.0,13.412528991699219
남강7,2025-08-18,17.0,18.05976104736328
남지,2017-03-21,20.7,24.115068435668945
남지,2017-09-12,34.900000000000006,41.34332275390625
남지,2017-11-21,18.300000000000004,14.957918167114258
남지,2018-03-06,29.000000000000004,33.67813491821289
남지,2018-04-10,25.6,14.551173210144043
남지,2018-07-24,29.89999999999999,27.686691284179688
남지,2018-09-27,73.60000000000001,51.28684997558594
남지,2018-10-02,25.899999999999995,22.915542602539062
남지,2018-11-06,57.6,44.53700256347656
남지,2019-01-15,13.7,13.88874340057373
남지,2019-06-04,21.6,39.47278594970703
남지,2019-10-22,17.0,14.396659851074219
남지,2020-02-04,37.699999999999996,32.40010070800781
남지,2020-04-14,6.499999999999999,9.043865203857422
남지,2020-10-06,42.7,39.65484619140625
남지,2021-01-19,35.199999999999996,20.47838592529297
남지,2022-01-04,15.799999999999997,8.398391723632812
남지,2022-04-19,15.3,10.101713180541992
남지,2022-05-24,4.4,12.017659187316895
남지,2022-11-15,17.999999999999996,6.709225177764893
남지,2022-12-20,23.0,8.886487007141113
남지,2023-05-09,5.3,9.81981086730957
남지,2023-08-02,46.2,29.074617385864258
남지,2023-10-11,26.000000000000004,27.8983211517334
남지,2024-05-13,15.499999999999998,14.06324291229248
남지,2024-08-06,11.199999999999998,44.398681640625
남지,2024-11-19,22.499999999999996,29.054119110107422
남지,2024-12-09,45.70000000000001,39.22697067260742
남지,2025-04-08,2.5,7.073460578918457
남지,2025-04-28,15.900000000000004,15.907986640930176
남지,2025-05-08,29.199999999999992,15.74134349822998
논공,2017-03-21,48.29999999999999,36.778995513916016
논공,2017-04-10,33.7,26.329553604125977
논공,2017-08-28,15.0,24.495574951171875
논공,2017-09-12,24.599999999999998,44.8134765625
논공,2017-12-11,14.299999999999999,27.842130661010742
논공,2018-01-15,20.3,34.63850021362305
논공,2018-03-06,48.29999999999999,51.18238067626953
논공,2018-03-26,34.4,36.17405319213867
논공,2018-04-30,53.199999999999996,35.7148551940918
논공,2018-08-13,9.3,23.23166275024414
논공,2018-09-27,7.800000000000002,10.538139343261719
논공,2018-11-26,14.1,9.029889106750488
논공,2019-04-15,26.2,16.406452178955078
논공,2019-12-16,19.600000000000005,30.8667049407959
논공,2020-06-08,17.0,12.494688034057617
논공,2020-10-26,37.5,35.72416687011719
논공,2020-11-30,12.0,12.53285026550293
논공,2021-01-04,34.60000000000001,29.364805221557617
논공,2021-02-08,57.00000000000001,43.74149703979492
논공,2021-03-15,41.70000000000001,40.895233154296875
논공,2021-12-20,10.8,12.038095474243164
논공,2022-02-03,12.700000000000001,18.23514175415039
논공,2022-04-04,22.900000000000002,27.569183349609375
논공,2022-05-09,3.5999999999999996,15.472095489501953
논공,2022-08-22,11.1,14.795146942138672
논공,2022-10-31,1.2,10.298992156982422
논공,2023-03-20,29.89999999999999,37.28284454345703
논공,2023-09-11,9.400000000000002,22.34499740600586
논공,2023-10-16,29.500000000000004,22.88190460205078
논공,2023-11-20,12.300000000000002,13.361003875732422
논공,2024-02-13,23.0,29.400545120239258
논공,2024-03-04,21.8,18.22930335998535
논공,2024-05-13,9.9,15.432165145874023
논공,2024-11-19,12.700000000000001,19.762027740478516
논공,2024-12-09,12.4,18.667545318603516
논공,2025-03-24,21.499999999999996,27.87030601501465
논공,2025-04-28,7.900000000000002,5.274573802947998
논공,2025-08-18,23.200000000000003,43.17279052734375
다사,2017-09-12,12.799999999999999,34.410682678222656
다사,2017-12-11,9.699999999999998,8.788491249084473
다사,2018-02-19,17.0,12.034214973449707
다사,2018-03-06,42.2,32.92807388305664
